1, room1, lights, off
1, room2, lights, off
1, livingroom, lights, off
1, garage, lights, off
1, thermostat, temperature, 20
1, garage, alarm, off
2, room1, lights, off
2, room2, lights, off
2, livingroom, lights, off
2, garage, lights, off
2, thermostat, temperature, 20
2, garage, alarm, off
3, room1, lights, off
3, room2, lights, off
3, livingroom, lights, off
3, garage, lights, off
3, thermostat, temperature, 20
3, garage, alarm, off
4, room1, lights, off
4, room2, lights, off
4, livingroom, lights, off
4, garage, lights, off
4, thermostat, temperature, 20
4, garage, alarm, off
5, room1, lights, off
5, room2, lights, off
5, livingroom, lights, off
5, garage, lights, off
5, thermostat, temperature, 20
5, garage, alarm, off
6, room1, lights, on
6, room2, lights, off
6, livingroom, lights, off
6, garage, lights, off
6, thermostat, temperature, 20
6, garage, alarm, off
7, room1, lights, on
7, room2, lights, off
7, livingroom, lights, off
7, garage, lights, off
7, thermostat, temperature, 20
7, garage, alarm, off
8, room1, lights, on
8, room2, lights, off
8, livingroom, lights, off
8, garage, lights, off
8, thermostat, temperature, 20
8, garage, alarm, off
9, room1, lights, on
9, room2, lights, off
9, livingroom, lights, off
9, garage, lights, off
9, thermostat, temperature, 20
9, garage, alarm, off
10, room1, lights, on
10, room2, lights, off
10, livingroom, lights, off
10, garage, lights, off
10, thermostat, temperature, 20
10, garage, alarm, off
11, room1, lights, on
11, room2, lights, off
11, livingroom, lights, off
11, garage, lights, off
11, thermostat, temperature, 20
11, garage, alarm, off
12, room1, lights, on
12, room2, lights, off
12, livingroom, lights, off
12, garage, lights, off
12, thermostat, temperature, 20
12, garage, alarm, off
13, room1, lights, on
13, room2, lights, on
13, livingroom, lights, off
13, garage, lights, off
13, thermostat, temperature, 20
13, garage, alarm, on
14, room1, lights, off
14, room2, lights, on
14, livingroom, lights, off
14, garage, lights, on
14, thermostat, temperature, 20
14, garage, alarm, on
15, room1, lights, off
15, room2, lights, on
15, livingroom, lights, off
15, garage, lights, off
15, thermostat, temperature, 20
15, garage, alarm, on
16, room1, lights, off
16, room2, lights, on
16, livingroom, lights, off
16, garage, lights, on
16, thermostat, temperature, 20
16, garage, alarm, on
17, room1, lights, off
17, room2, lights, on
17, livingroom, lights, off
17, garage, lights, off
17, thermostat, temperature, 20
17, garage, alarm, off
18, room1, lights, off
18, room2, lights, on
18, livingroom, lights, off
18, garage, lights, off
18, thermostat, temperature, 20
18, garage, alarm, off
19, room1, lights, off
19, room2, lights, on
19, livingroom, lights, off
19, garage, lights, off
19, thermostat, temperature, 20
19, garage, alarm, off
20, room1, lights, off
20, room2, lights, on
20, livingroom, lights, off
20, garage, lights, off
20, thermostat, temperature, 20
20, garage, alarm, off
21, room1, lights, off
21, room2, lights, on
21, livingroom, lights, off
21, garage, lights, off
21, thermostat, temperature, 20
21, garage, alarm, off
22, room1, lights, off
22, room2, lights, on
22, livingroom, lights, off
22, garage, lights, off
22, thermostat, temperature, 20
22, garage, alarm, off
23, room1, lights, off
23, room2, lights, on
23, livingroom, lights, off
23, garage, lights, off
23, thermostat, temperature, 20
23, garage, alarm, on
24, room1, lights, off
24, room2, lights, on
24, livingroom, lights, off
24, garage, lights, on
24, thermostat, temperature, 20
24, garage, alarm, on
25, room1, lights, off
25, room2, lights, on
25, livingroom, lights, off
25, garage, lights, off
25, thermostat, temperature, 20
25, garage, alarm, on
26, room1, lights, off
26, room2, lights, on
26, livingroom, lights, off
26, garage, lights, on
26, thermostat, temperature, 20
26, garage, alarm, on
27, room1, lights, off
27, room2, lights, on
27, livingroom, lights, off
27, garage, lights, off
27, thermostat, temperature, 20
27, garage, alarm, on
28, room1, lights, off
28, room2, lights, on
28, livingroom, lights, off
28, garage, lights, on
28, thermostat, temperature, 20
28, garage, alarm, on
29, room1, lights, off
29, room2, lights, on
29, livingroom, lights, off
29, garage, lights, off
29, thermostat, temperature, 20
29, garage, alarm, on
30, room1, lights, off
30, room2, lights, on
30, livingroom, lights, off
30, garage, lights, on
30, thermostat, temperature, 20
30, garage, alarm, on
31, room1, lights, off
31, room2, lights, on
31, livingroom, lights, off
31, garage, lights, off
31, thermostat, temperature, 20
31, garage, alarm, on
{36, room1, lights, off}
{36, room2, lights, off}
{36, livingroom, lights, off}
{36, garage, lights, off}
{36, thermostat, temperature, 20}
{36, garage, alarm, on}
{37, room1, lights, off}
{37, room2, lights, off}
{37, livingroom, lights, off}
{37, garage, lights, on}
{37, thermostat, temperature, 20}
{37, garage, alarm, on}
{38, room1, lights, off}
{38, room2, lights, off}
{38, livingroom, lights, off}
{38, garage, lights, off}
{38, thermostat, temperature, 20}
{38, garage, alarm, on}
{39, room1, lights, off}
{39, room2, lights, off}
{39, livingroom, lights, off}
{39, garage, lights, on}
{39, thermostat, temperature, 20}
{39, garage, alarm, on}
{40, room1, lights, off}
{40, room2, lights, off}
{40, livingroom, lights, off}
{40, garage, lights, off}
{40, thermostat, temperature, 20}
{40, garage, alarm, on}
{41, room1, lights, off}
{41, room2, lights, off}
{41, livingroom, lights, off}
{41, garage, lights, on}
{41, thermostat, temperature, 20}
{41, garage, alarm, on}
